iter	Logloss
0	0.6623100351
1	0.6399345455
2	0.6167186141
3	0.6019988059
4	0.5805820589
5	0.5641485893
6	0.5448364879
7	0.530385589
8	0.5166262708
9	0.5040259767
10	0.4949382738
11	0.4833417081
12	0.4734121466
13	0.4641612546
14	0.4533663307
15	0.4444645801
16	0.4375391052
17	0.428971143
18	0.4199545359
19	0.4107318676
20	0.4047098402
21	0.3994533358
22	0.3927714525
23	0.3875309612
24	0.3844224298
25	0.3789442983
26	0.3723909999
27	0.3680867141
28	0.3626961631
29	0.3563943267
30	0.3518048078
31	0.3494461605
32	0.3457482984
33	0.3433732023
34	0.3396059973
35	0.3374859361
36	0.3319760054
37	0.3283415674
38	0.325128084
39	0.3214358312
40	0.3182815765
41	0.3142793554
42	0.3107588614
43	0.3076790436
44	0.3041584457
45	0.3003883808
46	0.296895605
47	0.2914832596
48	0.2883938137
49	0.2852815504
50	0.2819750194
51	0.2796872805
52	0.2767259258
53	0.2738618098
54	0.2720059934
55	0.2699629117
56	0.2670704011
57	0.265337097
58	0.2633412895
59	0.2597228537
60	0.2573798013
61	0.2547111305
62	0.2514556038
63	0.2499835294
64	0.2462715111
65	0.2436317747
66	0.2400016592
67	0.2355524573
68	0.2332075806
69	0.2306170929
70	0.227994307
71	0.2266980747
72	0.2253414129
